"File","Key","Comment","EnglishValue","TurkishValue","NewLanguageValue"
"Strings.resx","LoadingDataLabelText","Text shown when data is being loaded from a parquet file","Loading Data","Veri Yükleniyor",""
"Strings.resx","MainWindowOpenFileTitleFormat","Title format string when a new file is opened","File: {0}","Dosya: {0}",""
"Strings.resx","MainWindowOpenFolderTitleFormat","Title format string when a new folder is opened","Folder: {0}","Klasör: {0}",""
"Strings.resx","MetadataSuccessfullyExportedToFileMessageFormat","Shown when raw thrift metadata is successfully exported to a file","Metadata successfully exported to: {0}","Metadata başarıyla kaydedildi: {0}",""
"Strings.resx","MetadataSuccessfullyExportedToFileMessageTitle","Shown when raw thrift metadata is successfully exported to a file","Export complete","Kayıt başarılı",""
"Strings.resx","PrivacyPolicyLabelText","Title to be shown before the privacy policy","Privacy policy","Gizlilik politikası",""
"Strings.resx","QuerySyntaxHelpText","Shown when the user clicks on the Filter Query (?): link button","NULL CHECK: 
    WHERE field_name IS NULL
    WHERE field_name IS NOT NULL
DATETIME:   
    WHERE field_name >= #2000-12-31#
    WHERE field_name = #2000-01-13 01:00:00#
NUMERIC:
    WHERE field_name <= 123.4
    WHERE (field1 * field2) / 100 > 0.1
STRING:
    WHERE field_name LIKE '%value%' 
    WHERE field_name = 'equals value'
    WHERE field_name <> 'not equals'
IN CHECK:
    WHERE field_name IN (value1, value2)
    WHERE field_name NOT IN (value3, value4)
MULTIPLE CONDITIONS: 
    WHERE (field_1 = 0 AND field_2 <> 'value') OR field_3 IS NULL

Checkout 'Help → User Guide' for more information.","NULL KONTROLÜ: 
    WHERE field_name IS NULL
    WHERE field_name IS NOT NULL
TARİH ve ZAMAN:   
    WHERE field_name >= #2000-12-31#
    WHERE field_name = #2000-01-13 01:00:00#
SAYISAL:
    WHERE field_name <= 123.4
    WHERE (field1 * field2) / 100 > 0.1
METİN:
    WHERE field_name LIKE '%value%' 
    WHERE field_name = 'equals value'
    WHERE field_name <> 'not equals'
IN KONTROLÜ:
    WHERE field_name IN (value1, value2)
    WHERE field_name NOT IN (value3, value4)
BIRDEN FAZLA KOŞUL: 
    WHERE (field_1 = 0 AND field_2 <> 'value') OR field_3 IS NULL

Daha fazla bilgi için: 'Hakkında → Kullanıcı Kılavuzu'",""
"Strings.resx","QuerySyntaxHelpTitle","Shown when the user clicks on the Filter Query (?): link button","Filter Query Syntax Examples","Sorgu Filtresi Söz Dizim Örnekleri",""
"Strings.resx","RecordsToBeExportedTitleFormat","Title shown on the save file dialog when the user is exporting data","{0} records will be exported","{0} kayıt kaydedilecektir",""
"Strings.resx","SaveImageAsButtonText","Shown on the save image to file button in the quick peek form","Save image as {0}","Resmi {0} olarak kaydet",""
"Strings.resx","SaveImageToFileButtonTextFormat","Text template for the button to save an image preview to disk","Save as {0}","{0} olarak Kaydet",""
"Strings.resx","SaveRawMetadataToFileDialogTitle","Shown when falling back to saving the raw thrift metadata to a file instead of the clipboard","Save raw metadata","Ham metadatayı kaydet",""
"Strings.resx","SelectAllCheckmarkTextFormat","Shown in the field selection dialog to bulk select checkmarks","Select All (Count: {0})","Hepsini Seç (Sayı: {0})",""
"Strings.resx","SwitchFromXlsToXlsxMessageFormat","Shown when the user tries to export data to an xls file with too many characters in a single cell. The text should prompt the user if they want to switch to xlsx instead which supports more data in a single cell","Maximum {0} characters per cell are supported for {1} files.

Would you like to switch to a {2} file instead?","{1} dosyaları hücre başına maksimum {0} karakter desteklemektedir. 

Onun yerine sonuçlari {2} dosyasına aktarmak ister misiniz?",""
"Strings.resx","SwitchFromXlsToXlsxMessageTitle","Shown when the user tries to export data to an xls file with too many characters in a single cell. The text should prompt the user if they want to switch to xlsx instead which supports more data in a single cell","Data too large - Switch export type?","Fazla uzun veri - Dosya tipi değiştirilsin mi?",""
"Strings.resx","ThriftMetadataCopiedToClipboardMessage","Shown when the user clicks the Copy Raw Thrift Metadata button","Raw Thrift metadata copied to clipboard.","Ham Thrift metadatası panoya kopyalandı.",""
"Strings.resx","TooManyFieldsErrorFormat","Shown on the Field Selection Dialog when there are too many fields to filter by","Too many fields: {0}","Desteklenmeyen sayıda alan: {0}",""
"Strings.resx","TypeText","Shown in the title bar of quick peek windows for image previews","Type","Format",""
"Strings.resx","UnsupportedFieldCountTextFormat","Shown in the field selection dialog to indicate how many fields are unsupported by ParquetViewer","Unsupported: {0}","Desteklenmeyen: {0}",""
"Strings.resx","UnsupportedFieldText","Shown in the field selection dialog next to field names to indicate the field is not supported for viewing with ParquetViewer","(Unsupported)","(Desteklenmiyor)",""
